epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,elapsed_seconds
1,8.262265976973493,0.0005689669186377306,8.145081849126091,0.014619883040935672,45.40112042427063
2,7.883555275128642,0.005445826221246851,7.629050773486757,0.07967836257309942,39.192219257354736
3,7.439140562719324,0.03511338697878566,7.0029802322387695,0.26900584795321636,37.55562710762024
4,6.998675571285999,0.13175648215882305,6.482548590989141,0.37353801169590645,37.89045429229736
5,6.585754057183398,0.229049825245875,5.983629817851106,0.4334795321637427,37.57737469673157
6,6.213816920383319,0.297163293505649,5.53801409124631,0.4766081871345029,38.373684883117676
7,5.881720730030351,0.34219296106640656,5.19466483523274,0.5087719298245614,37.488683223724365
8,5.605773543900691,0.3732422986263513,4.795487833301923,0.5343567251461988,38.01374316215515
9,5.352080640333179,0.4077054376981224,4.61297767483003,0.560672514619883,36.67499279975891
10,5.131897799243755,0.43233357717629844,4.308389635811075,0.5752923976608187,37.379680156707764
11,4.924362475548606,0.45891246037551814,4.064357461985091,0.5891812865497076,36.32959985733032
12,4.737162585337162,0.47825733560920103,3.86750342553122,0.6052631578947368,38.30216312408447
13,4.550964028469229,0.5006908884012029,3.761579287679572,0.6257309941520468,37.95315957069397
14,4.3959805585015825,0.5196293586930018,3.533327615749069,0.6381578947368421,38.53659510612488
15,4.249403971458348,0.5366983662521336,3.398804023251896,0.6630116959064327,38.29804444313049
16,4.104699987265614,0.5501910103226855,3.2784229970117758,0.672514619883041,38.079426288604736
17,3.960735450263412,0.5672600178818175,3.161610441598279,0.6973684210526315,35.16842436790466
18,3.82907997650082,0.583597496545558,3.0310121976841264,0.7090643274853801,30.74552011489868
19,3.713788779045638,0.5940014630577908,2.905590065738611,0.7178362573099415,31.25934672355652
20,3.5869658058235956,0.6060310493375599,2.840441491868761,0.7280701754385965,30.72634220123291
21,3.4768166680224764,0.6213931561407787,2.7324803168313547,0.7404970760233918,30.904211044311523
22,3.3751324630990935,0.6314719986995042,2.6443788377862227,0.7485380116959064,30.820435047149658
23,3.268705216809074,0.6440705518979111,2.569229059052049,0.7573099415204678,30.8770968914032
24,3.1755057068401302,0.6534178655612453,2.4935995375203808,0.7638888888888888,30.93363857269287
25,3.0736684621877424,0.6645533609688694,2.4314859596609373,0.7690058479532164,30.95571732521057
26,2.9883539448189054,0.6735755506786962,2.360907300871018,0.7763157894736842,30.944297790527344
27,2.900651498198616,0.68625538486548,2.331862614168758,0.7843567251461988,31.114933490753174
28,2.8024436521169704,0.6997480289360318,2.283915770681281,0.7894736842105263,31.145482301712036
29,2.7325289374801636,0.7047061692270178,2.2359305264657006,0.7960526315789473,30.886270999908447
30,2.6525391343647042,0.7116150532390474,2.1901005415888557,0.8004385964912281,31.57846426963806
31,2.5734158737779795,0.7249451353328457,2.1631518665112948,0.8062865497076024,31.364945888519287
32,2.5178908831238176,0.7327481102170202,2.1329903518944455,0.8114035087719298,31.220820665359497
33,2.442496655520836,0.7419328619036007,2.0925697360122415,0.8187134502923976,31.50515103340149
34,2.3759001723965967,0.7517678614971958,2.0785802163575826,0.8223684210526315,41.68456721305847
35,2.3149127467981074,0.7630659188815736,2.059488448483205,0.8187134502923976,41.581095933914185
36,2.253732531359261,0.7707876127773714,2.034432731873808,0.8216374269005848,39.28059434890747
37,2.2009889481271716,0.7855807526619524,2.0216336947435525,0.8238304093567251,36.86181974411011
38,2.149235625330204,0.797366495976591,2.015299650660732,0.827485380116959,38.45408272743225
