dataset,metric,comparator,comparator_value,gaca_value,difference,ci95_low,ci95_high,paired_p,paired_test,gaca_only_correct,comparator_only_correct,n
lt30,level4_accuracy,Foldseek,0.6995884773662552,0.7325102880658436,0.03292181069958844,-0.008230452674897085,0.07407407407407407,0.1849333420395851,exact two-sided McNemar,18.0,10.0,243
lt30,macro_f1,Foldseek,0.678894472361809,0.7172050729839674,0.03831060062215841,-0.0010998774509804962,0.07046480134837181,0.0592,two-sided paired bootstrap,,,243
30_50,level4_accuracy,Foldseek,0.8134171907756813,0.8490566037735849,0.03563941299790363,0.010482180293501009,0.06079664570230614,0.009475304279476404,exact two-sided McNemar,28.0,11.0,477
30_50,macro_f1,Foldseek,0.8103554795171563,0.8334046193327631,0.023049139815606856,0.006810971100898508,0.050304034530363424,0.0132,two-sided paired bootstrap,,,477
