dataset,metric,comparator,comparator_value,gaca_value,difference,ci95_low,ci95_high,paired_p,paired_test,gaca_only_correct,comparator_only_correct,n
lt30,level4_accuracy,BLASTp,0.6666666666666666,0.7325102880658436,0.06584362139917699,0.024691358024691357,0.11111111111111105,0.005222879350185395,exact two-sided McNemar,23.0,7.0,243
lt30,macro_f1,BLASTp,0.6536013400335008,0.7172050729839674,0.06360373295046662,0.02713549058260227,0.09999999999999998,0.0016,two-sided paired bootstrap,,,243
30_50,level4_accuracy,BLASTp,0.8113207547169812,0.8490566037735849,0.037735849056603765,0.012578616352201255,0.06289308176100628,0.0050976432976312935,exact two-sided McNemar,28.0,10.0,477
30_50,macro_f1,BLASTp,0.8092244083262048,0.8334046193327631,0.024180211006558316,0.007830991235266893,0.04982928525157641,0.0076,two-sided paired bootstrap,,,477
