dataset,dataset_label,method,n,level1_acc_pct,level2_acc_pct,level3_acc_pct,level4_acc_pct,macro_f1,mcc,level4_correct
lt30,<30%,BLASTp,243,86.0082304526749,80.65843621399176,76.95473251028807,66.66666666666666,0.6536013400335008,0.666235200845761,162
lt30,<30%,Foldseek,243,90.12345679012346,85.18518518518519,82.3045267489712,69.95884773662551,0.678894472361809,0.6992249432214496,170
lt30,<30%,GaCA,243,87.65432098765432,83.1275720164609,81.06995884773663,69.95884773662551,0.671356783919598,0.6991754981991197,170
30-50,30-50%,BLASTp,477,94.75890985324948,91.61425576519916,88.88888888888889,81.13207547169812,0.8092244083262048,0.8111628697987097,387
30-50,30-50%,Foldseek,477,96.22641509433963,93.08176100628931,89.937106918239,81.34171907756813,0.8103554795171563,0.813290218348546,388
30-50,30-50%,GaCA,477,96.0167714884696,92.87211740041928,89.937106918239,84.0670859538784,0.8264399771884802,0.840585531503823,401
