epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,elapsed_seconds
1,8.263778191276327,0.0010566528488986425,8.118965790285701,0.03435672514619883,29.878477096557617
2,7.8471476913690275,0.005852231163130944,7.5316615522953505,0.11769005847953216,29.923097372055054
3,7.395595909162991,0.04194099000243843,7.002169291178386,0.2909356725146199,29.844327688217163
4,7.001270844976485,0.1263106559375762,6.542978889063785,0.391812865497076,30.010934829711914
5,6.6278957297799455,0.2225473461757295,6.064062743159066,0.4371345029239766,30.04973578453064
6,6.256622699240519,0.2865967650166626,5.550723100963392,0.45394736842105265,30.179942846298218
7,5.891286666108604,0.33731610176379745,5.168491553144845,0.48903508771929827,30.07025694847107
8,5.554908511949285,0.3751930423473949,4.726160559737892,0.5190058479532164,30.131843328475952
9,5.265789309333207,0.41185076810534016,4.449871350450126,0.5599415204678363,29.955629110336304
10,5.013879369315428,0.4420872957815167,4.163951349537275,0.5782163742690059,29.92773199081421
11,4.784082737083717,0.46679671624806957,3.9618523441560085,0.5986842105263158,29.766824960708618
12,4.590489634864458,0.4917499796797529,3.7416333287780046,0.6198830409356725,30.04967498779297
13,4.412476703169713,0.5075997724132325,3.6065429553650974,0.6374269005847953,30.193178415298462
14,4.2447677740360445,0.5313338210192636,3.4395154428760906,0.6637426900584795,30.12545371055603
15,4.091244901243016,0.551328944159961,3.2568804395129107,0.6739766081871345,29.890435934066772
16,3.941599953206566,0.5631959684629765,3.15130547194453,0.6907894736842105,29.856099367141724
17,3.8092293571110014,0.5777452653824271,3.04141900971619,0.7054093567251462,30.171276092529297
18,3.683127752215089,0.594326587011298,2.9203721347608065,0.7156432748538012,30.506784915924072
19,3.5600061024784666,0.6090384459075022,2.7832218973260177,0.7273391812865497,30.57955503463745
20,3.4515602978750777,0.6222059660245468,2.723437666195875,0.7346491228070176,30.167252779006958
21,3.342684533143929,0.6363488580021133,2.6232336864136814,0.7397660818713451,30.069406270980835
22,3.2319304589419833,0.6457774526538242,2.555451808617129,0.7507309941520468,30.100478649139404
23,3.13634734078945,0.6552060473055352,2.491568411999976,0.7595029239766082,29.963315725326538
24,3.038982517940382,0.667398195562058,2.421662475630554,0.7682748538011696,30.16560125350952
25,2.944615858197842,0.6785336909696822,2.367651047065244,0.7748538011695907,30.2677321434021
26,2.85402763541962,0.6895879053889296,2.3119852919327584,0.7894736842105263,30.24366521835327
27,2.767790863303298,0.7018613346338292,2.2673221666213363,0.7967836257309941,30.323359727859497
28,2.687906010697588,0.710883524343656,2.2225900198283948,0.7997076023391813,30.327030420303345
29,2.623650024453285,0.719418028123222,2.185217255040219,0.8011695906432749,30.391605615615845
30,2.5421606488783244,0.7294155896935707,2.149273364864595,0.8077485380116959,30.300158500671387
31,2.468240119650685,0.7382752174266439,2.1191268497043185,0.8128654970760234,30.06968855857849
32,2.3990108730986206,0.7486791839388767,2.0950752866198443,0.8165204678362573,30.082929849624634
33,2.3376616810353164,0.7574575306835731,2.072084316733288,0.8179824561403509,30.051795721054077
34,2.277100655854858,0.7707876127773714,2.053607313256515,0.8216374269005848,30.14513397216797
35,2.2173056733866954,0.7788344306266765,2.0397694236353825,0.8238304093567251,29.97672438621521
36,2.1633018352031357,0.7904576119645614,2.0129218464009244,0.831140350877193,30.260547876358032
37,2.1152441681259813,0.797366495976591,2.0012866795411584,0.8296783625730995,30.293662309646606
38,2.070891675392535,0.8101276111517516,1.9885877726370829,0.8333333333333334,30.53438639640808
39,2.022658707096956,0.8203690156872308,1.9776601289447986,0.8333333333333334,30.282607078552246
40,1.9792743948507259,0.8313419491181013,1.9737829325491922,0.8391812865497076,30.12609887123108
41,1.9372926337403282,0.8411769487116963,1.9635228246276142,0.8326023391812866,30.418048620224
42,1.908251750220189,0.84670405592132,1.961981157113237,0.8304093567251462,30.185540437698364
43,1.8754856976553511,0.8578395513289442,1.9524774844186348,0.8340643274853801,30.026931285858154
44,1.8442208607448927,0.8642607494107128,1.9508792475650185,0.8377192982456141,30.098473072052002
45,1.8195148458095582,0.875396244818337,1.9485018155728167,0.8347953216374269,30.321908235549927
46,1.789693567303829,0.8785662033650329,1.9463522169325087,0.8377192982456141,30.156728982925415
47,1.7701843847426555,0.8826302527838739,1.9432953617029023,0.8355263157894737,30.11876082420349
48,1.753641480606164,0.8892140128423962,1.945282955615841,0.8391812865497076,30.187371492385864
49,1.7249476457721555,0.8977485166219621,1.9404462345859461,0.8399122807017544,30.1484854221344
50,1.718088255300276,0.8979923595870926,1.939737191674305,0.8406432748538012,30.364408254623413
51,1.710390519991179,0.9007559131919044,1.9392760483145017,0.8362573099415205,30.19968605041504
