epoch,train_loss,train_accuracy,elapsed_seconds
1,8.233880569430662,0.0008777704630239193,30.186524152755737
2,7.75790389350962,0.010167507863360398,30.196704149246216
3,7.245423766203068,0.06568648964962329,30.386089324951172
4,6.797753998673604,0.17548094506619852,30.431405544281006
5,6.370871745906135,0.27349864677053615,30.697309017181396
6,5.944368268112686,0.33355277594908933,30.280967473983765
7,5.537320101830546,0.38131811864530757,30.27948522567749
8,5.1965812076970135,0.42250018286884644,30.159977436065674
9,4.920706111993623,0.4536610343061956,30.243223905563354
10,4.684799632945203,0.48321263989466756,30.22543501853943
11,4.47023395291802,0.5101309340940677,30.23363208770752
12,4.2776935175371875,0.5336844415185429,30.215304613113403
13,4.10599367033109,0.553873162168093,30.170915842056274
14,3.94438277005225,0.572452636968766,30.184424877166748
15,3.790536391465633,0.5868627020700753,30.329946994781494
16,3.650926056100738,0.6031014556360178,30.31847310066223
17,3.523101371344909,0.6186818813546924,30.250213623046875
18,3.4001039058791895,0.6336771267646844,30.26617193222046
19,3.2804670871006056,0.6489649623290177,30.3692147731781
20,3.167968973577367,0.6600833881939873,30.331154584884644
21,3.0657131912922617,0.6710555189817863,30.28888726234436
22,2.973103204211933,0.6835637480798771,30.410277366638184
23,2.8656566636231515,0.6971691902567478,30.192737817764282
24,2.7846331312281274,0.7044839441152805,30.201984882354736
25,2.6957071462813573,0.7148708945943969,30.045716285705566
26,2.6143714626307513,0.7250384024577573,30.23787784576416
27,2.5499781426231705,0.7342549923195084,30.425748825073242
28,2.47109472194418,0.7407651232536026,30.244174242019653
29,2.4016670076266857,0.7528344671201814,31.16074776649475
30,2.3381256469819762,0.7617584668275913,30.319171667099
31,2.270160572154408,0.7706093189964157,30.228219747543335
32,2.2163153060936525,0.7788018433179723,30.14431381225586
33,2.161267849061564,0.790798039645966,30.5407452583313
34,2.106798260067718,0.801550727818009,30.16700768470764
35,2.0562686722225054,0.8113524979884427,30.17539072036743
36,2.011433632143082,0.8247384975495574,30.170349836349487
37,1.9699905369313335,0.8300782678662862,30.2343692779541
38,1.924202471624897,0.8423670543486211,30.175000429153442
39,1.8963704521292766,0.8483651525126179,30.2586452960968
40,1.8662349034241652,0.8579474800672957,30.23635196685791
41,1.8305952745613694,0.8652622339258284,30.303425073623657
42,1.8056800105944784,0.8726501353229463,30.21598172187805
43,1.7847741117387428,0.8758686270207008,30.55231523513794
44,1.7610595634203179,0.8819398727232829,30.511369228363037
45,1.7419512778766921,0.8896203642747421,30.40588903427124
46,1.7194795881975509,0.8946675444371297,30.28783392906189
47,1.701642985281499,0.9024211835271743,30.407694339752197
48,1.692960876299236,0.9028600687586863,30.26793646812439
49,1.6750187036994781,0.9080535439982445,30.091222047805786
50,1.663104735639116,0.9111257406188282,30.304495096206665
51,1.6518245641144582,0.9144905273937532,30.301416873931885
52,1.640146272889297,0.9197571501718967,30.375065803527832
53,1.630502253136458,0.921146953405018,30.46914529800415
54,1.620122886263856,0.9265598712603321,30.35841417312622
55,1.6097343397266068,0.9294126252651598,30.281265258789062
56,1.600393424438023,0.9335088874259381,30.48197603225708
57,1.595436012393493,0.9326311169629142,30.395671129226685
58,1.58762902286928,0.9381171823568137,30.298006057739258
59,1.5785715373500142,0.939506985589935,30.11754298210144
60,1.5763849038054396,0.9404579035915441,30.179116010665894
61,1.5708728227258888,0.9424328871333479,30.43316650390625
62,1.5591533414343177,0.9490161656060273,30.42790150642395
63,1.55963421969239,0.9473337722185649,30.309736013412476
64,1.5513521526963943,0.9490161656060273,30.429218530654907
65,1.5441112437913382,0.9492356082217833,30.6403226852417
66,1.5436003481353806,0.9505522639163192,30.2626953125
67,1.5286073797789046,0.9580133128520225,30.230700969696045
68,1.5319122948369952,0.956769804696072,30.117185831069946
69,1.5257603305110412,0.9578670177748518,30.35568404197693
70,1.5237485654752942,0.9578670177748518,30.377076625823975
71,1.5229014924725133,0.9593299685465584,30.240702152252197
72,1.5188022289512606,0.9588179357764611,30.442779064178467
