epoch,train_loss,train_accuracy,elapsed_seconds
1,8.011545803419422,0.017994294491990345,36.73168611526489
2,7.022075420534782,0.16545973228000876,36.715861320495605
3,6.1968345508501494,0.33750274303269695,36.40327262878418
4,5.519159844289465,0.42601126472094214,36.4318630695343
5,4.966356748826903,0.48562650866798335,36.83450531959534
6,4.5186813589719295,0.5295881793577646,36.86085224151611
7,4.162709772294707,0.5641138175700388,36.571678161621094
8,3.849447285210796,0.593958013312852,36.16238880157471
9,3.583169172645688,0.6240947992100065,37.10172390937805
10,3.3561714174595565,0.6494769950991149,36.13033390045166
11,3.157253116654823,0.670324043595933,36.62744617462158
12,2.9841544986704207,0.692487747787287,36.56826615333557
13,2.8172248970502194,0.7116524028966426,36.421382904052734
14,2.676475966110129,0.7262087630751225,36.056195974349976
15,2.541539950862938,0.7461780411089167,36.618425607681274
16,2.4151311756078506,0.7627825323677858,36.482566595077515
17,2.307272372777003,0.7820203350157268,36.291943311691284
18,2.2028719815397984,0.7967229902713774,36.262224435806274
19,2.11279229208839,0.8119376782971253,36.30707359313965
20,2.0255315546563564,0.8281032843244824,36.31848645210266
21,1.9513205338061559,0.8417087265013532,36.27442812919617
22,1.8872402847384353,0.8541438080608588,36.59204292297363
23,1.824946781561933,0.869870528856704,36.5107638835907
24,1.7668575703047005,0.8817204301075269,36.57817029953003
25,1.7190269413431076,0.8965693804403482,36.20974326133728
26,1.6851868912589618,0.9053470850705874,36.51420307159424
27,1.6477469845807298,0.9141247897008266,36.09138536453247
28,1.6160811425894706,0.9212201009436033,36.5839262008667
29,1.5861881637649977,0.9280228220320387,36.07020449638367
30,1.5667371453838475,0.935264428351986,36.366827726364136
31,1.5482420148832745,0.9398727232828615,36.58419942855835
32,1.5305334257840604,0.9448467559066638,36.476994037628174
33,1.5154283621012794,0.950259673761978,36.470537185668945
34,1.50226858868856,0.9545022309999268,36.6736044883728
35,1.490320785864768,0.9577207226976813,36.53462052345276
36,1.4834393703042,0.9588910833150465,36.21306324005127
37,1.4751485547973369,0.9594762636237291,36.70991587638855
38,1.4611397514084457,0.9652549191719698,36.82987952232361
39,1.4565254522655242,0.966644722405091,36.15344595909119
40,1.4468999591500502,0.9691317387169922,36.391852617263794
41,1.4399506406230869,0.9705215419501134,36.4800910949707
42,1.4329263067709381,0.9714724599517226,36.21199584007263
43,1.4302501555516685,0.9738131811864531,35.91516470909119
44,1.427173709330497,0.9750566893424036,37.18885374069214
45,1.421982865171019,0.9757881647282569,36.76151204109192
46,1.4124049025284382,0.9785677711944993,36.810925245285034
47,1.412335468519232,0.9772511154999635,36.59808945655823
