epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,elapsed_seconds
1,8.075163736834057,0.013573925058928717,7.420772452103464,0.12573099415204678,100.96665716171265
2,7.17654124378315,0.13208160611233033,6.556731355120564,0.33114035087719296,38.73195004463196
3,6.433401489087278,0.28976672356335853,5.819026645861174,0.44590643274853803,36.81765055656433
4,5.801070033559215,0.39063643013899046,5.205976129275316,0.5087719298245614,36.83221125602722
5,5.259474301836233,0.45501097293343085,4.644741984138712,0.5562865497076024,36.984644174575806
6,4.81167361736879,0.49743964886613024,4.2255468312759845,0.5942982456140351,36.292367935180664
7,4.442917847976369,0.5293017963098431,3.8876651741607846,0.618421052631579,36.45741033554077
8,4.126486851201449,0.5613265057303097,3.5818833133630585,0.6469298245614035,36.93678665161133
9,3.8499676554142765,0.5892058847435585,3.365901696054559,0.6783625730994152,37.07795286178589
10,3.617577718291197,0.6178980736405755,3.1604028612549544,0.7039473684210527,36.999409198760986
11,3.4030177559705708,0.6399252214906933,2.9881045386108043,0.7156432748538012,36.3692524433136
12,3.213977278843746,0.6579696009103471,2.853586431135211,0.7236842105263158,36.247063875198364
13,3.041903442690394,0.6790213768999431,2.722738394263195,0.7470760233918129,36.93121695518494
14,2.876867801612309,0.6969031943428432,2.6154267997072456,0.7587719298245614,36.6716194152832
15,2.732520271740938,0.7167357555067869,2.525144660682009,0.7653508771929824,36.87388467788696
16,2.601842722989268,0.7326668292286435,2.445515905904491,0.7799707602339181,36.90665316581726
17,2.47605958264368,0.754368853125254,2.3637872662460593,0.7894736842105263,38.14990997314453
18,2.370902661433077,0.7689994310330813,2.304186701077467,0.7967836257309941,37.41486310958862
19,2.260663307983391,0.7910265788831993,2.261515812567103,0.8048245614035088,37.331342697143555
20,2.16434987785273,0.8066325286515484,2.214403369970489,0.8099415204678363,36.42573928833008
21,2.0714033982680697,0.8197187677802162,2.1749117987894873,0.8179824561403509,36.674482107162476
22,2.0026946669331047,0.8372754612696091,2.1562582791200158,0.8194444444444444,36.65572547912598
23,1.9335327733292633,0.8508493863285378,2.1150701617636876,0.8238304093567251,36.87031698226929
24,1.861934370813569,0.8679996748760465,2.0996662134315534,0.8260233918128655,37.32228446006775
25,1.807250675201261,0.8766154596439892,2.0780576098034955,0.831140350877193,36.595362186431885
26,1.7565236482292348,0.8907583516215557,2.0579828490987855,0.8318713450292398,36.958062410354614
27,1.7146538811796594,0.8999431033081362,2.051368759389509,0.8362573099415205,36.81739544868469
28,1.6785769281780334,0.9081524831341949,2.037708346606695,0.8347953216374269,36.44955778121948
29,1.6444141642113077,0.9195318215069496,2.0313051109425504,0.8347953216374269,36.699198722839355
30,1.614918170155117,0.9258717386003413,2.0236081770289016,0.8384502923976608,36.72806477546692
31,1.588877403008437,0.9326993416239941,2.007519328803347,0.8362573099415205,36.75121569633484
32,1.5673954683542737,0.9374949199382264,2.019457535436976,0.8355263157894737,36.1804678440094
33,1.5493793186206968,0.9421279362757051,1.9984775677061917,0.841374269005848,37.390894174575806
34,1.53278929662251,0.9487929773226043,2.0016018967879448,0.8377192982456141,36.56312966346741
35,1.517611211880837,0.9518003738925466,2.0010423395368786,0.8421052631578947,36.35380268096924
36,1.50279455795178,0.9554580183695034,1.9950624125742773,0.8384502923976608,36.773571491241455
37,1.4903467334325475,0.958790538892953,1.996003226230019,0.8347953216374269,36.887765407562256
38,1.4844170371507286,0.9595220677883443,1.9964892236809981,0.8399122807017544,36.61625647544861
