epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,elapsed_seconds
1,8.262746100792757,0.0010566528488986425,8.156538729082074,0.017543859649122806,29.305307149887085
2,7.941250373742973,0.0017881817442900105,7.89981888888175,0.07163742690058479,29.027466773986816
3,7.625384572598156,0.010729090465740063,7.306024897168254,0.14327485380116958,29.376903295516968
4,7.268774826546214,0.049581402909859386,6.874436261361105,0.24269005847953215,29.290396451950073
5,6.936628317528698,0.11899536698366252,6.463617263481631,0.32748538011695905,29.266499519348145
6,6.621475393322728,0.19271722344143705,6.104692316891854,0.37792397660818716,29.211758852005005
7,6.305705908051567,0.2540843696659351,5.713418397289968,0.42105263157894735,29.27753973007202
8,6.033736234679025,0.29383077298219945,5.342065225567734,0.4451754385964912,29.575852632522583
9,5.763857262992843,0.3367471348451597,5.116387598695811,0.47441520467836257,29.461751222610474
10,5.5195401477821475,0.366658538567829,4.820524302142405,0.49780701754385964,29.258023738861084
11,5.303614424542955,0.39120539705762825,4.5570801768386575,0.5197368421052632,29.251312971115112
12,5.103195534676427,0.4115256441518329,4.291611958665458,0.5423976608187134,29.563112497329712
13,4.916474932976238,0.43517841176948713,4.147760106806169,0.5621345029239766,29.73651099205017
14,4.752268803833772,0.4542794440380395,3.9471942834686815,0.5862573099415205,29.115374088287354
15,4.586392297654058,0.4769568397951719,3.784071155458863,0.6074561403508771,29.066315412521362
16,4.429994467902957,0.4926440705518979,3.6710912972165826,0.6293859649122807,29.150161266326904
17,4.284743677181296,0.507843615378363,3.5088035628112437,0.6440058479532164,29.263702869415283
18,4.145825082050594,0.5284889864260749,3.37938916613484,0.6578947368421053,29.414366245269775
19,4.028963316032424,0.5392993578801918,3.225293114868521,0.6652046783625731,29.16178846359253
20,3.8938872047355484,0.5570186133463383,3.1522976194905956,0.679093567251462,29.16121482849121
21,3.785800820238792,0.5731122490449484,3.0509343593441254,0.689327485380117,29.314738035202026
22,3.669106773755361,0.5833536535804276,2.942236306374533,0.6937134502923976,29.245121955871582
23,3.5579070698814763,0.5966024546858489,2.8665070812604583,0.7039473684210527,29.605796575546265
24,3.449203629072416,0.6083881980004877,2.771574154234769,0.7171052631578947,29.275623321533203
25,3.3651684889955793,0.6199300983499959,2.698301549543414,0.7236842105263158,28.94709277153015
26,3.251922379215975,0.6356986100950988,2.628911587229946,0.7368421052631579,29.132876873016357
27,3.1613508015737817,0.6488661302121433,2.5774687772605853,0.7404970760233918,29.24661660194397
28,3.0724760556253954,0.6583760058522312,2.5095062200088947,0.7507309941520468,29.35718274116516
29,2.9832629213330804,0.6728440217833049,2.466075451053374,0.7558479532163743,29.072613954544067
30,2.9015468772054738,0.6789400959115662,2.4106330007140397,0.7646198830409356,29.410763025283813
